"Label","ID","Spot N links","Spot center intensity","Spot frame","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot position","Spot position","Spot position","Spot quick mean","Spot radius","Spot track ID","Track N spots"
"",""," "," "," ","Mean ch1","Std ch1","Min ch1","Max ch1","Median ch1","Sum ch1","X","Y","Z"," "," "," "," "
"","","","(Counts)","","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(µm)","(µm)","(µm)","(Counts)","(µm)","",""
"45","45","2","6583.483848213244","20","6722.340673918811","3384.4483118254134","2888.0","18452.0","5164.0","2.5336502E7","197.1698641612718","143.46180200026276","166.37901054857034","6659.147435897436","5.0","1","33"
"46","46","2","5780.552527700948","19","5988.489558551414","3082.507928691108","2213.0","19997.0","4809.0","2.2654456E7","198.28482088641798","143.46180200026276","165.26405382342412","5923.458333333333","5.0","1","33"
"47","47","2","7470.677593537905","18","7150.886202365309","3586.6580072277807","2874.0","17471.0","6081.0","2.7209122E7","197.00103790636004","143.96300494453195","161.91918364798553","6772.780487804878","5.0","1","33"
"48","48","2","6735.73816836272","17","6467.99947312961","3143.0348678048235","2416.0","15688.0","5741.0","2.4552526E7","200.00825557197518","143.46180200026274","161.91918364798553","6127.737804878048","5.0","1","33"
"49","49","2","5661.993264135045","16","5841.511105235325","3306.881587085627","2165.0","16697.0","4496.0","2.2092595E7","198.5046467391676","140.9557872789168","161.91918364798553","5708.777777777777","5.0","1","33"
"50","50","2","4615.083947190741","15","4847.906480505796","2421.56509477814","2042.0","15637.0","3818.0","1.8402653E7","197.00103790636004","138.95097550184005","161.91918364798553","4944.575757575758","5.0","1","33"
"51","51","2","6117.458026155071","14","5741.803561935141","2991.6475319716933","1529.0","16989.0","4734.0","2.1600665E7","197.00103790636004","138.95097550184005","166.37901054857034","5377.215189873417","5.0","1","33"
"52","52","2","5834.355652307575","13","6085.544948289578","2777.2126640215956","2756.0","18385.0","5102.0","2.294859E7","191.03760217296767","141.456990223186","166.37901054857034","6107.125786163522","5.0","1","33"
"53","53","2","4092.448558613219","12","4230.063863337714","1071.2816038919595","2530.0","9863.0","4021.0","1.6095393E7","186.52677567454495","143.46180200026276","167.8826193813779","4255.222222222223","5.0","1","33"
"54","54","2","4312.494444534137","11","4445.659343568025","1051.8610961408247","2161.0","8696.0","4290.0","1.6795701E7","185.02316684173738","145.9678167216087","165.37660466003197","4585.274390243902","5.0","1","33"
