,label,area,major_axis_length,solidity,max_intensity,mean_intensity,min_intensity,minor_axis_length
0,77,499.98900000000003,23.823725144331007,inf,5436.0,2771.6995073891626,1701.0,1.3328003749250113e-07
0,78,4586.106,31.89631547292777,0.8766478342749529,23299.0,5254.615467239528,859.0,14.009061835247808
0,79,889.143,21.458429558307586,0.9256410256410256,5782.0,3108.0997229916898,1239.0,8.274200024832343
0,80,15135.135,44.902529503283006,0.8898059658268174,14944.0,3698.882831570382,1190.0,22.878473155150324
0,81,761.067,14.793991521686408,0.9478527607361963,3601.0,1829.5760517799354,845.0,8.713300628754467
0,82,43971.939,54.64106523438126,0.805931744312026,21683.0,4596.627233518177,843.0,34.78313902403781
0,83,189.651,18.451951447069394,inf,1395.0,1107.935064935065,755.0,0.0
0,84,8088.492,37.49150279121027,0.8181365221723966,9992.0,2222.470767356882,628.0,14.308851032239046
0,85,1184.703,38.6945336712434,inf,7771.0,4185.869022869023,2040.0,2.6656007498500226e-07
0,86,231.52200000000002,18.247442267465384,inf,1599.0,1179.531914893617,774.0,1.999200562387517e-07
0,87,37033.668,46.67906213742383,0.9173886516168395,15580.0,4867.698191008247,1387.0,34.543324816809275
0,88,45213.291000000005,57.92385516800918,0.7883954646967876,15198.0,4435.568992754807,1094.0,38.04393426510802
0,89,6110.703,26.837644388417154,0.8659685863874347,4160.0,2015.0318419991938,681.0,21.02907139150015
0,90,1731.489,26.128457673014395,0.9385847797062751,3942.0,1770.6642958748223,762.0,8.901106672919695
0,91,541.86,21.939257851627346,inf,1210.0,987.7181818181818,741.0,0.0
0,92,56496.294,60.04258740142334,0.9290024705358227,14890.0,4993.786380678351,738.0,39.688655842994066
0,93,37706.067,57.33370780971311,0.8283194459474083,12220.0,3611.9195244627344,626.0,28.5995010183834
0,94,46979.262,76.5847027254275,0.6355457816873251,12907.0,3267.0083883820907,874.0,34.246542542086935
0,95,243.83700000000002,18.51812427315195,inf,1898.0,1503.919191919192,1183.0,0.0
0,96,38634.618,46.39313313703565,0.9010282038026309,14401.0,4627.540800714012,1131.0,38.71229274042542
0,97,2231.478,23.569594863842998,0.822141560798548,11754.0,4997.709713024283,1242.0,11.316225823996913
0,98,28228.443,55.04206853917206,0.8270910009381539,13836.0,4099.505104266644,1092.0,26.59051690357754
0,99,256.152,19.19024752563929,inf,1751.0,1513.7596153846155,1172.0,0.0
0,100,44661.579,56.348376715042626,0.6970745396532503,29611.0,4951.745271052777,1212.0,36.77027764374965
0,101,1684.692,19.424532676544047,0.9035667107001321,2637.0,1789.7163742690059,963.0,10.929670532003806
0,102,2086.161,26.76507730438813,0.8625254582484725,10248.0,4616.527744982291,1719.0,10.934070120761843
0,103,29270.292,54.030097579067025,0.8452948289352016,14818.0,5583.611578593066,1137.0,30.297533208602715
0,104,42104.985,56.06442223187493,0.6908187181766751,11977.0,4268.738695525008,673.0,40.52987390454467
0,105,4056.561,23.51666588581381,0.8714285714285716,6824.0,2510.7668488160293,933.0,18.16723069244717
0,106,371.913,20.569544270560748,inf,2180.0,1810.1920529801325,1412.0,0.0
0,107,29161.920000000002,55.28931716796469,0.8634142784219355,22618.0,5717.456418918919,1303.0,30.594227981838003
0,108,45358.608,62.07142507094742,0.8276110012583139,22414.0,5025.495927454387,1225.0,37.30403780539531
0,109,238.911,23.89892634883619,inf,3757.0,2375.453608247423,1416.0,1.4901161193847656e-07
0,110,33452.466,61.77699058215986,0.8790938511326861,28241.0,5478.448608452363,1177.0,33.17584490812142
0,111,1081.257,36.81977907719012,inf,8007.0,3006.5854214123005,1390.0,0.0
0,112,29728.41,56.019728439033244,0.8825680023398655,25076.0,5853.508367854184,788.0,30.27382780857346
0,113,38989.29,58.14805147049369,0.7280838929261337,13265.0,4113.975363234365,936.0,37.22721834125439
0,114,2603.391,26.351436253388123,0.9034188034188034,7981.0,3878.6915799432354,1687.0,13.790129791051474
0,115,44218.239,52.69771863170459,0.9254123711340205,24561.0,7499.57906756531,1333.0,34.50918703781908
0,116,44838.915,76.12714288128488,0.8061730581879373,21677.0,4523.781488602032,762.0,32.06930580776142
0,117,431.02500000000003,32.98435674180966,inf,1749.0,1382.1142857142856,1162.0,0.0
0,118,2416.203,24.439798340778555,0.8751115075825155,16548.0,6934.048929663609,2344.0,12.446673344390836
0,119,21497.064000000002,63.06976742158414,0.6253940957294354,17402.0,6575.8353574702105,1158.0,21.99909226639462
0,120,26400.897,46.35301985955193,0.7491089524075756,15937.0,4586.213359455173,1221.0,33.56566342922997
0,121,384.228,17.864980415756772,inf,2779.0,1934.8076923076924,1361.0,0.0
0,122,307.875,17.60261404575922,inf,5422.0,3594.904,2199.0,0.0
0,123,33839.157,72.61396622376199,0.6928041954515657,15907.0,4758.401048111216,388.0,27.290559272063998
0,124,1655.136,31.666450794163598,0.7832167832167832,6716.0,3714.845238095238,1893.0,5.398522625043989
0,125,1608.339,41.64837896705588,0.8649006622516556,12018.0,4997.62787136294,1833.0,5.467579674351906
0,126,3785.6310000000003,38.63932631450218,0.8245708154506438,11931.0,3653.537410540013,1325.0,11.414845241973138
0,127,352.209,21.60698940354928,inf,3823.0,2642.3566433566434,1630.0,1.884864366154897e-07
0,128,256.152,18.81651014354985,inf,4758.0,2741.5673076923076,1479.0,1.884864366154897e-07
0,129,35430.255000000005,55.379961426018454,0.6114251710800357,17223.0,5161.342718109141,1385.0,32.9305865936162
0,130,253.68900000000002,21.616148446227967,inf,8139.0,4338.73786407767,2163.0,0.0
0,131,32248.059,59.896875235203055,0.7428652482269503,13945.0,4837.215458642023,605.0,30.79074125655416
0,132,2157.588,21.43177963697866,0.8929663608562692,1492.0,1077.216894977169,732.0,13.362165406415862
0,133,1315.242,26.106574293098422,0.8343749999999999,5197.0,3021.9513108614233,1358.0,5.46838688012186
0,134,44346.315,62.1821762649505,0.7815348554562028,19974.0,4991.352179950014,444.0,34.49269024168146
0,135,8913.597,39.93670892282765,0.8033296337402885,10153.0,1837.1353965183753,377.0,22.094840142006714
0,136,53666.307,66.03563672182545,0.7107349055680594,16557.0,3763.5371058791134,362.0,37.61322633145295
0,137,1495.041,26.288882524170383,0.9469578783151325,3223.0,1766.3673805601318,972.0,5.4950482168901145
